osm_id,existing_maxspeed,highway,classification,mean_curvature,population,segment_length_km,cap_reason,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct,has_valid_rec
219896536,60,tertiary,Urban,0.006462609298,5243536,8.855169978,Urban - short/dense/curvy,,,,,,,,,,,False
245271328,60,secondary,Urban,0.001764244002,2051899,2.185452268,Urban - short/dense/curvy,,,,,,,,,,,False
153136158,20,tertiary,Rural,0.0003814185473,19471,0.9481783329,Rural - short or curved,,,,,,,,,,,False
112964308,40,tertiary,Urban,0.0004834176194,5243536,0.7413630218,Urban - short/dense/curvy,,,,,,,,,,,False
664980582,80,secondary,Urban,0.004476287178,5243536,27.25451735,Urban - short/dense/curvy,,,,,,,,,,,False
129283926,80,tertiary,Urban,0.001655768205,1275185,7.372499447,Urban - short/dense/curvy,,,,,,,,,,,False
90967359,30,tertiary,Urban,0.000785537802,703141,0.1190134414,Urban - short/dense/curvy,,,,,,,,,,,False
1364228811,40,secondary,Urban,0.001198071525,1275185,0.2947349896,Urban - short/dense/curvy,39.99999978189618,,,,,,,,,,True
5067172,30,secondary,Urban,0.008787388391,2960048,0.5977429774,Urban - short/dense/curvy,,,,,,,,,,,False
692493532,60,secondary,Rural,0.003067834501,207010,3.636579859,Rural - short or curved,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,True
150874613,40,tertiary,Urban,0.003643414557,3325385,1.6740578,Urban - short/dense/curvy,,,,,,,,,,,False
158630864,30,tertiary,Urban,0.001976829012,2960048,0.323658828,Urban - short/dense/curvy,,,,,,,,,,,False
4948197,30,tertiary,Urban,3.12e-05,2960048,0.7567923723,Urban - short/dense/curvy,,,,,,,,,,,False
28535463,60,secondary,Urban,0.002384142161,3325385,26.40482183,Urban - short/dense/curvy,,,,,,,,,,,False
23489197,60,primary,Urban,0.01558539168,2960048,0.9079940991,Urban - short/dense/curvy,,,,,,,,,,,False
867866302,80,tertiary,Urban,0.01329213218,1275185,2.123474823,Urban - short/dense/curvy,,,,,,,,,,,False
28956724,40,secondary,Urban,0.01003444166,3325385,0.1403420594,Urban - short/dense/curvy,,,,,,,,,,,False
28375814,30,secondary,Urban,0.005609226975,366358,2.107869424,Urban - short/dense/curvy,,,,,,,,,,,False
28854022,30,tertiary,Urban,0.002264959915,2960048,0.5345095636,Urban - short/dense/curvy,,,,,,,,,,,False
99453576,40,tertiary,Urban,0.002819915425,3325385,2.218654386,Urban - short/dense/curvy,,,,,,,,,,,False
1078181380,40,tertiary,Rural,0.0005501598406,19471,0.2297072068,Rural - short or curved,,,,,,,,,,,False
194060239,80,primary,Urban,0.001607221592,2051899,14.92972902,Urban - short/dense/curvy,,,,,,,,,,,False
4943114,30,tertiary,Urban,0.0006282638289,2960048,0.3993186649,Urban - short/dense/curvy,,,,,,,,,,,False
157386148,80,tertiary,Urban,0.003875146698,1275185,0.8482186185,Urban - short/dense/curvy,,,,,,,,,,,False
27751246,40,tertiary,Urban,0.001812909802,3325385,1.848285072,Urban - short/dense/curvy,,,,,,,,,,,False
274202207,40,tertiary,Urban,0.006004127071,1275185,3.004553935,Urban - short/dense/curvy,,,,,,,,,,,False
25937030,40,tertiary,Urban,0.008856351064,3325385,0.6338900538,Urban - short/dense/curvy,,,,,,,,,,,False
51996833,40,tertiary,Urban,0.00655356514,3325385,0.5380787289,Urban - short/dense/curvy,,,,,,,,,,,False
922436204,40,tertiary,Rural,0.003873944515,828655,0.2596893805,Rural - short or curved,,,,,,,,,,,False
142228440,40,tertiary,Urban,9.23e-05,1503456,4.316351145,Urban - short/dense/curvy,,,,,,,,,,,False
28321133,40,tertiary,Urban,0.002069606399,2960048,1.14707852,Urban - short/dense/curvy,,,,,,,,,,,False
47108201,40,tertiary,Urban,0.006651745974,3325385,0.9989668941,Urban - short/dense/curvy,,,,,,,,,,,False
206474865,40,tertiary,Rural,0.000225547353,121033,0.5748616138,Rural - short or curved,40.0,40.0,40.0,40.0,,,,,,,True
53728472,40,tertiary,Urban,0.001329544568,3325385,1.078572979,Urban - short/dense/curvy,,,,,,,,,,,False
78136501,40,tertiary,Urban,0.003072041731,3325385,1.058264203,Urban - short/dense/curvy,,,,,,,,,,,False
118251175,80,primary,Urban,0.007531149979,651813,1.058876273,Urban - short/dense/curvy,,,,,,,,,,,False
36495831,40,tertiary,Urban,0.008062794313,651813,1.740802054,Urban - short/dense/curvy,,,,,,,,,,,False
152843298,60,secondary,Urban,0.001309482588,372910,30.05017195,Urban - short/dense/curvy,,,,,,,,,,,False
247777159,40,tertiary,Urban,0.008966252652,3325385,9.481931434,Urban - short/dense/curvy,49.999999636520215,49.99999963652144,49.99999963652166,,,,,,,,True
110390569,30,secondary,Urban,0.01699035296,366358,2.960100207,Urban - short/dense/curvy,,,,,,,,,,,False
