city,osm_id,name,highway,lanes,maxspeed,surface,bridge,tunnel,lit,sidewalk,oneway,cycleway,segment_length,segment_width,mean_curvature,aadt,population,classification,city_total_crashes,segment_length_km,crash_rate_per_km
Antipolo,275299485,Botong Francisco Road,tertiary,2,40,concrete,0,0,0,0,0,0,1788.207576,21.52721078,0.0005829474809,25852,887399,Urban,37,1.788207576,20.69111019
Antipolo,26302583,Buen Mar Avenue,tertiary,2,40,asphalt,0,0,0,1,1,0,1722.216255,25.76067856,0.01650901709,25852,887399,Urban,37,1.722216255,21.48394541
Antipolo,95783377,Burgos,tertiary,2,40,concrete,0,0,0,0,0,0,231.0939448,21.3569582,0.001916217954,25852,887399,Urban,37,0.2310939448,160.1080462
Antipolo,670993215,C-5 Road,tertiary,2,40,concrete,0,0,0,0,1,0,714.0228061,21.80763438,0.004953322463,28569,887399,Urban,37,0.7140228061,51.81907312
Antipolo,27906093,C-6 Extension,primary,2,80,asphalt,1,0,0,1,1,0,275.1325889,37.69306404,7.23E-05,22311,887399,Urban,37,0.2751325889,134.4806159
Antipolo,28664416,C-6 Kambal Road,secondary,2,60,concrete,1,0,1,1,1,0,7492.014902,28.20916137,0.002802511325,25852,887399,Urban,37,7.492014902,4.938591351
Antipolo,51760457,C. Lawis Extension,tertiary,2,40,asphalt,1,0,1,1,0,0,2894.898655,23.99682781,0.002699265122,28569,887399,Urban,37,2.894898655,12.78110373
Antipolo,23212224,C. Lawis Street,tertiary,2,40,concrete,1,0,1,1,1,0,1104.662052,27.3179699,0.0003981783461,25852,887399,Urban,37,1.104662052,33.49440667
Antipolo,5235834,C. M. Recto Street,tertiary,2,30,asphalt,0,0,1,1,1,1,1188.834497,24.62151367,0.003934386874,38125,887399,Urban,37,1.188834497,31.12291921
Antipolo,28441496,Cabrera Road,secondary,2,60,concrete,1,0,1,1,1,0,4393.294931,30.51057368,0.003385002401,25852,887399,Urban,37,4.393294931,8.421924906
Antipolo,25845123,Camden Avenue,tertiary,2,40,concrete,0,0,0,0,0,0,770.8305698,22.47330231,0.003413984024,29817,887399,Urban,37,0.7708305698,48.00017209
Antipolo,25776002,Carlos Street,tertiary,2,40,concrete,0,0,0,0,0,0,320.2462922,20.97941573,0.0002262439877,25852,887399,Urban,37,0.3202462922,115.5360761
Antipolo,35193885,Casimiro A. Ynares Sr. Boulevard,secondary,4,60,asphalt,1,0,1,1,0,0,3466.083976,50.15123065,0.0002859675222,38125,887399,Urban,37,3.466083976,10.6748712
