osm_id,existing_maxspeed,highway,classification,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct
218689672,40,tertiary,Urban,,,,,,,,,,
106522339,40,tertiary,Urban,,,,,,,,,,
4935813,20,tertiary,Urban,,,,,,,,,,
23959201,30,secondary,Rural,,,,,,,,,,
320478659,80,primary,Urban,,,,,,,,,,
36077386,40,primary,Urban,,,,,,,,,,
164906835,80,primary,Urban,,,,,,,,,,
64977572,40,tertiary,Urban,,,,,,,,,,
36983709,40,tertiary,Urban,,,,,,,,,,
154516680,40,secondary,Urban,,,,,,,,,,
165278162,40,tertiary,Urban,,,,,,,,,,
48115051,30,tertiary,Rural,,,,,,,,,,
555235462,40,tertiary,Urban,,,,,,,,,,
316442748,80,primary,Rural,,,,,,,,,,
563380806,40,tertiary,Urban,,,,,,,,,,
389006906,60,secondary,Urban,,,,,,,,,,
56659469,40,primary,Rural,,,,,,,,,,
102644000,40,tertiary,Urban,,,,,,,,,,
229686836,80,primary,Rural,,,,,,,,,,
28341622,40,secondary,Urban,,,,,,,,,,
43313787,40,trunk,Urban,,,,,,,,,,
93819227,40,tertiary,Urban,,,,,,,,,,
855632867,30,secondary,Rural,,,,,,,,,,
560428378,80,primary,Urban,,,,,,,,,,
246746767,40,tertiary,Urban,,,,,,,,,,
297410934,40,tertiary,Rural,,,,,,,,,,
53309957,40,tertiary,Urban,,,,,,,,,,
98430126,40,tertiary,Urban,,,,,,,,,,
25776002,40,tertiary,Urban,,,,,,,,,,
471355614,20,tertiary,Urban,,,,,,,,,,
53728427,40,tertiary,Urban,,,,,,,,,,
31131639,30,tertiary,Urban,,,,,,,,,,
364060598,40,tertiary,Urban,,,,,,,,,,
174726550,30,trunk,Urban,,,,,,,,,,
154271433,40,tertiary,Urban,,,,,,,,,,
237448564,30,tertiary,Urban,,,,,,,,,,
170096380,60,secondary,Urban,,,,,,,,,,
149843782,40,tertiary,Urban,,,,,,,,,,
1015247355,30,tertiary,Urban,,,,,,,,,,
28788771,40,tertiary,Urban,,,,,,,,,,
4794394,20,tertiary,Urban,,,,,,,,,,
28531652,40,tertiary,Urban,,,,,,,,,,
152843425,30,tertiary,Urban,,,,,,,,,,
620730423,40,tertiary,Urban,,,,,,,,,,
661151779,40,tertiary,Urban,,,,,,,,,,
103277317,40,tertiary,Urban,,,,,,,,,,
25653893,50,primary,Urban,,,,,,,,,,
