osm_id,lanes,segment_width,mean_curvature,population,segment_length_km,composite_risk,priority
728191513,4,20.93759738,0.003051755817,109499,0.3342444783,0.6530659316807756,False
28552791,2,22.0142759,0.005097216085,2960048,0.4935664104,0.8253834118113509,False
106993209,4,21.214572,0.0001976297865,697315,12.84256643,0.8287632199404649,False
62103039,2,21.97796272,0.001111908737,3325385,0.1585710883,0.8580767746583267,False
152830383,2,20.27431464,0.005370363737,372910,16.63008026,0.4309313001823255,False
30265146,2,21.93954015,0.004180656066,3325385,30.42421981,1.092614841291026,False
160192382,2,27.37782432,0.0005283024749,2960048,0.2319154709,0.8225283733023644,False
24636221,2,33.77410554,0.0002042146973,38302,1.278438887,0.31376623421656186,False
32806735,2,20.147086,0.005213162118,728402,2.110905371,0.39685653191056636,False
28188700,2,25.90277634,0.005847340954,2960048,0.7595252455,0.8617931854130537,False
51339480,2,20.67003613,0.0003461734994,600783,0.468110995,0.3225583229818696,False
1300589677,2,26.89788408,0.02447672431,887399,0.04535881337,0.6293985110694489,False
4896186,4,25.67684285,0.003570234169,2960048,6.272988901,1.278263089697138,True
47409980,2,24.86368003,0.02234106288,887399,0.8443982238,0.6016351818041443,False
28868605,2,27.28788115,0.00184660455,5243536,1.6195227,1.280000490202452,True
4910276,4,23.00878393,0.001615116609,2960048,0.2309371103,1.2004562082311168,False
370822568,2,20.51648646,0.002785846815,1503456,0.6063978497,0.5164193493864848,False
199028571,2,22.41886967,0.0006054170272,887399,0.1296697382,0.38996856981897754,False
35116100,2,21.14952425,8.16e-06,5243536,0.9314172172,1.2149867994789865,False
831635292,2,20.34311342,8.33e-05,600783,0.9141357525,0.3209795042519434,False
35776890,2,30.57084316,0.001221768728,3325385,0.5486549435,0.9237101346851652,False
82162396,2,26.56901461,0.0005040811828,3325385,0.917949146,0.8911331381605079,False
23959195,2,44.5848502,0.0004680627305,5243536,0.5072744882,1.385150900507874,True
88191025,4,26.56068593,0.0004883314567,728402,1.120647686,0.7952106329972657,False
92512309,2,20.81197789,0.002799202093,828655,0.3859503522,0.38797994275272646,False
513164628,2,20.288768,0.003198364253,5243536,1.083412195,1.2375785648186153,True
30069089,2,40.44380129,0.004532446476,703141,0.4976595828,0.5214402578615087,False
80482765,2,20.52453907,0.0001916202965,3325385,1.316101924,0.8475431839419393,False
68453926,2,26.05652051,0.001388846771,3325385,30.81637541,1.1007238186514452,False
130503865,2,20.03838358,0.0003274885423,1275185,8.164964206,0.49985959097755267,False
