osm_id,composite_risk,priority,other_feature_recommendation
1009021143,0.21750076072379532,False,Intervene due to high lanes
57743591,0.2038826034575015,False,Intervene due to high lanes
202390943,0.6700817644922933,True,Intervene due to high lanes
91362842,0.22704326199501984,False,Intervene due to high lanes
13752595,0.22966512401711364,False,Intervene due to high lanes
770972272,0.29567777778165955,False,Intervene due to high lanes
97677545,0.2632139386268485,False,Intervene due to high lanes
246869360,0.21090109491987985,False,Intervene due to high lanes
149096526,0.29924756449238343,False,Intervene due to high lanes
108179548,0.2394863182975523,False,Intervene due to high lanes
85049429,0.21570707199178496,False,Intervene due to high lanes
266119608,0.23496314518121297,False,Intervene due to high lanes
72472581,0.3816586566453023,False,Intervene due to high lanes
5707692,0.24855864146523868,False,Intervene due to high lanes
166219950,0.25658573373620214,False,Intervene due to high lanes
23520149,0.22029339007997806,False,Intervene due to high lanes
155436839,0.21525202990332334,False,Intervene due to high lanes
115233269,0.2258733878087555,False,Intervene due to high lanes
91734406,0.4810269487655942,False,Intervene due to high lanes
28788664,0.7042337158843467,True,Intervene due to high lanes
28951497,0.21000455592839443,False,Intervene due to high lanes
20528779,0.2529232588675654,False,Intervene due to high lanes
23241531,0.2116553731859777,False,Intervene due to high lanes
31536627,0.2782640503821262,False,Intervene due to high lanes
45095282,0.3554501872625243,False,Intervene due to high lanes
124692807,0.2378444698473162,False,Intervene due to high lanes
58494774,0.6875545060569243,True,Intervene due to high lanes
628700841,0.27722366597439035,False,Intervene due to high lanes
903548635,0.6083923149898314,False,Intervene due to high lanes
29354754,0.21791122205357083,False,Intervene due to high lanes
133256157,0.2273783172580192,False,Intervene due to high lanes
29671193,0.2881701762037069,False,Intervene due to high lanes
1297142511,0.21287389391428727,False,Intervene due to high lanes
705703226,1.2065733053955086,True,Intervene due to high segment_width
30265735,0.24686585825486254,False,Intervene due to high lanes
208719904,0.2641813109923841,False,Intervene due to high lanes
53728264,0.21931853069237725,False,Intervene due to high lanes
681683031,1.1139081803983413,True,Intervene due to high mean_curvature
158171558,0.22387907048437145,False,Intervene due to high lanes
108782088,0.2980430639404874,False,Intervene due to high lanes
311852376,0.3149463291102419,False,Intervene due to high lanes
250252317,0.33219375767962633,False,Intervene due to high lanes
579458299,0.39261760327559536,False,Intervene due to high lanes
152948619,0.2141749479854975,False,Intervene due to high lanes
364051677,0.3358589285124399,False,Intervene due to high lanes
27421930,0.22604659299308955,False,Intervene due to high lanes
587032745,0.25119048593697657,False,Intervene due to high lanes
884700472,0.23454934697240615,False,Intervene due to high lanes
51774810,0.26624186660260946,False,Intervene due to high lanes
333003198,0.3299366665005206,False,Intervene due to high lanes
23525865,0.25000684984490346,False,Intervene due to high lanes
4196131,0.47126207766947187,False,Intervene due to high lanes
1121139516,0.24268398077696388,False,Intervene due to high lanes
388995187,0.21171337317679823,False,Intervene due to high lanes
32686458,0.20800744238596375,False,Intervene due to high lanes
157508590,0.30769137981383204,False,Intervene due to high lanes
290794347,0.27070238755510956,False,Intervene due to high lanes
28833618,0.5046238848812489,False,Intervene due to high lanes
23976154,0.31365100168203836,False,Intervene due to high lanes
639286550,0.20604749735887287,False,Intervene due to high lanes
117892485,0.3861463530673934,False,Intervene due to high lanes
28063499,0.6258932889064981,True,Intervene due to high lanes
38363414,0.3499847760934085,False,Intervene due to high lanes
556852184,0.4400310357238496,False,Intervene due to high lanes
340081624,0.20209865424502005,False,Intervene due to high lanes
4357042,0.21776339492972538,False,Intervene due to high lanes
824717249,0.274907704609618,False,Intervene due to high lanes
28296718,0.22092711671147708,False,Intervene due to high lanes
887866209,0.22227236521120136,False,Intervene due to high lanes
218689672,0.21112262455625636,False,Intervene due to high lanes
106522339,0.2691288373154563,False,Intervene due to high lanes
4935813,0.3337034702955631,False,Intervene due to high lanes
23959201,0.6219117722427446,False,Intervene due to high lanes
320478659,0.2121909637277557,False,Intervene due to high lanes
36077386,0.25601976633577916,False,Intervene due to high lanes
164906835,0.7161743201388482,True,Intervene due to high lanes
64977572,0.2538935956631036,False,Intervene due to high lanes
36983709,0.20731721217899238,False,Intervene due to high lanes
154516680,0.20750559593919182,False,Intervene due to high lanes
165278162,0.21458417652860035,False,Intervene due to high lanes
48115051,0.22082246111235246,False,Intervene due to high lanes
555235462,0.22699777704531945,False,Intervene due to high lanes
316442748,0.2305048834098843,False,Intervene due to high lanes
563380806,0.533507524959714,False,Intervene due to high segment_width
389006906,0.210486246579122,False,Intervene due to high lanes
56659469,0.26282843693331803,False,Intervene due to high lanes
102644000,0.21147914943403853,False,Intervene due to high lanes
229686836,0.6750319590248446,True,Intervene due to high mean_curvature
28341622,0.4479150027914035,False,Intervene due to high lanes
43313787,0.6139901151354369,False,Intervene due to high lanes
93819227,0.2444457458090094,False,Intervene due to high lanes
855632867,0.744658610973603,True,Intervene due to high lanes
560428378,0.8509605116928578,True,Intervene due to high lanes
246746767,0.2226016625739763,False,Intervene due to high lanes
297410934,0.21779869959531264,False,Intervene due to high lanes
53309957,0.21630588487880495,False,Intervene due to high lanes
98430126,0.2581675469915075,False,Intervene due to high lanes
25776002,0.20933420842202605,False,Intervene due to high lanes
471355614,0.32989656770079107,False,Intervene due to high lanes
53728427,0.43607515590597723,False,Intervene due to high lanes
31131639,0.45842894672037654,False,Intervene due to high mean_curvature
364060598,0.2934933209119238,False,Intervene due to high lanes
174726550,0.22558558578708207,False,Intervene due to high lanes
154271433,0.20723896335322764,False,Intervene due to high lanes
237448564,0.5657614814328868,False,Intervene due to high lanes
170096380,0.40192820023957665,False,Intervene due to high lanes
149843782,0.3083469815288343,False,Intervene due to high lanes
1015247355,0.35298815577689924,False,Intervene due to high lanes
28788771,0.25055413984886205,False,Intervene due to high lanes
4794394,0.23984926166513232,False,Intervene due to high lanes
28531652,0.2316104457027257,False,Intervene due to high lanes
152843425,0.21388878867583533,False,Intervene due to high lanes
620730423,0.2522417501767745,False,Intervene due to high lanes
661151779,0.6528820507272294,True,Intervene due to high mean_curvature
103277317,0.21674787279589594,False,Intervene due to high lanes
25653893,0.7089525064827412,True,Intervene due to high lanes
108398742,0.6683428460820956,True,Intervene due to high lanes
384278394,0.2105962039633977,False,Intervene due to high lanes
226363213,0.24173211496713942,False,Intervene due to high lanes
52252195,0.2477702538426357,False,Intervene due to high lanes
172525197,0.2638470564456055,False,Intervene due to high lanes
16852930,0.21201681798284394,False,Intervene due to high lanes
4372918,0.2299327769925642,False,Intervene due to high lanes
184104933,0.2211625014399535,False,Intervene due to high lanes
908051871,0.5480093820513764,False,Intervene due to high mean_curvature
